set_number,sentID_in_set,theme,numerosity,tense,sentence,word_count,structure,sentID_in_dataset,Correction,Comment
1,1,art,singular,present,The artist paints their canvas.,7,baseline_a,1,x,
1,2,art,singular,present,The artist attentively paints their canvas.,7,baseline_b,2,x,
1,3,art,singular,present,The talented artist paints their canvas.,7,baseline_c,3,x,
1,4,art,singular,present,The talented artist attentively paints their canvas.,8,baseline_d,4,x,
1,5,art,singular,present,The artist in the studio paints their canvas.,9,control_a,5,x,
1,6,art,singular,present,The artist in the studio attentively paints their canvas.,10,control_b,6,x,
1,7,art,singular,present,The talented artist in the studio paints their canvas.,10,control_c,7,x,
1,8,art,singular,present,The talented artist in the studio attentively paints their canvas.,11,control_d,8,x,
1,9,art,singular,present,The artist who trained hard paints their canvas.,9,standard_subject_a,9,x,
1,10,art,singular,present,The artist who trained hard attentively paints their canvas.,10,standard_subject_b,10,x,
1,11,art,singular,present,The talented artist who trained hard paints their canvas.,10,standard_subject_c,11,x,
1,12,art,singular,present,The talented artist who trained hard attentively paints their canvas.,11,standard_subject_d,12,x,
1,13,art,singular,present,The artist who the critic admired paints their canvas.,10,standard_object_a,13,x,
1,14,art,singular,present,The artist who the critic admired attentively paints their canvas.,11,standard_object_b,14,x,
1,15,art,singular,present,The talented artist who the critic admired paints their canvas.,11,standard_object_c,15,x,
1,16,art,singular,present,The talented artist who the critic admired attentively paints their canvas.,12,standard_object_d,16,x,
1,17,art,singular,present,The artist who read the book that was on the shelf paints their canvas.,15,nested_subject_a,17,x,
1,18,art,singular,present,The artist who read the book that was on the shelf attentively paints their canvas.,16,nested_subject_b,18,x,
1,19,art,singular,present,The talented artist who read the book that was on the shelf paints their canvas.,16,nested_subject_c,19,x,
1,20,art,singular,present,The talented artist who read the book that was on the shelf attentively paints their canvas.,17,nested_subject_d,20,x,
1,21,art,singular,present,The artist who the curator who the museum respected supported paints their canvas.,14,nested_object_a,21,x,
1,22,art,singular,present,The artist who the curator who the museum respected supported attentively paints their canvas.,15,nested_object_b,22,x,
1,23,art,singular,present,The talented artist who the curator who the museum respected supported paints their canvas.,15,nested_object_c,23,x,
1,24,art,singular,present,The talented artist who the curator who the museum respected supported attentively paints their canvas.,16,nested_object_d,24,x,
2,1,art,singular,present,The artist paints new pictures.,5,baseline_a,25,,
2,2,art,singular,present,The artist quickly paints new pictures.,6,baseline_b,26,,
2,3,art,singular,present,The talented artist paints new pictures.,6,baseline_c,27,,
2,4,art,singular,present,The talented artist quickly paints new pictures.,7,baseline_d,28,,
2,5,art,singular,present,The artist in the studio paints new pictures.,8,control_a,29,,
2,6,art,singular,present,The artist in the studio quickly paints new pictures.,9,control_b,30,,
2,7,art,singular,present,The talented artist in the studio paints new pictures.,9,control_c,31,,
2,8,art,singular,present,The talented artist in the studio quickly paints new pictures.,10,control_d,32,,
2,9,art,singular,present,The artist who practiced every day paints new pictures.,9,standard_subject_a,33,,
2,10,art,singular,present,The artist who practiced every day quickly paints new pictures.,10,standard_subject_b,34,,
2,11,art,singular,present,The talented artist who practiced every day paints new pictures.,10,standard_subject_c,35,,
2,12,art,singular,present,The talented artist who practiced every day quickly paints new pictures.,11,standard_subject_d,36,,
2,13,art,singular,present,The artist who the gallery owner hired paints new pictures.,10,standard_object_a,37,,
2,14,art,singular,present,The artist who the gallery owner hired quickly paints new pictures.,11,standard_object_b,38,,
2,15,art,singular,present,The talented artist who the gallery owner hired paints new pictures.,11,standard_object_c,39,,
2,16,art,singular,present,The talented artist who the gallery owner hired quickly paints new pictures.,12,standard_object_d,40,,
2,17,art,singular,present,The artist who read the book that was on the shelf paints new pictures.,14,nested_subject_a,41,,
2,18,art,singular,present,The artist who read the book that was on the shelf quickly paints new pictures.,15,nested_subject_b,42,,
2,19,art,singular,present,The talented artist who read the book that was on the shelf paints new pictures.,15,nested_subject_c,43,,
2,20,art,singular,present,The talented artist who read the book that was on the shelf quickly paints new pictures.,16,nested_subject_d,44,,
2,21,art,singular,present,The artist who the instructor who the school paid taught paints new pictures.,14,nested_object_a,45,x,
2,22,art,singular,present,The artist who the instructor who the school paid taught quickly paints new pictures.,3,nested_object_b,46,x,
2,23,art,singular,present,The talented artist who the instructor who the school paid taught paints new pictures.,14,nested_object_c,47,x,
2,24,art,singular,present,The talented artist who the instructor who the school paid taught quickly paints new pictures.,15,nested_object_d,48,x,
